City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Lagoa,PT,2021-03-22 21:40:49,39.05,-27.9833,55.83,86,100,22.55
241,Kodiak,US,2021-03-22 21:34:50,57.79,-152.4072,35.6,75,90,3.44
242,Ferme-Neuve,CA,2021-03-22 21:43:42,46.7001,-75.4493,64.4,19,46,11.5
243,Wonthaggi,AU,2021-03-22 21:43:42,-38.6044,145.5913,63.0,96,100,10.09
244,Kushima,JP,2021-03-22 21:43:43,31.4583,131.2333,41.0,70,20,5.75
245,Ozuluama,MX,2021-03-22 21:43:43,21.6667,-97.85,79.79,54,4,18.05
246,Portland,US,2021-03-22 21:40:24,45.5234,-122.6762,51.01,66,75,8.05
247,Benguela,AO,2021-03-22 21:43:44,-12.5763,13.4055,78.66,75,85,2.51
248,Dolzhanskaya,RU,2021-03-22 21:43:44,46.6311,37.8039,36.16,97,100,14.99
249,Les Cayes,HT,2021-03-22 21:43:44,18.2,-73.75,79.72,68,10,7.4
250,Morro Bay,US,2021-03-22 21:43:44,35.3658,-120.8499,66.0,57,3,5.99
251,Lompoc,US,2021-03-22 21:43:45,34.6391,-120.4579,60.8,55,20,14.97
252,Coihaique,CL,2021-03-22 21:43:04,-45.5752,-72.0662,64.4,55,75,10.36
253,Ko Samui,TH,2021-03-22 21:39:42,9.5357,99.9357,82.15,75,98,12.46
254,Bambous Virieux,MU,2021-03-22 21:40:54,-20.3428,57.7575,78.8,89,40,1.14
255,Alofi,NU,2021-03-22 21:41:01,-19.0595,-169.9187,84.2,84,75,9.22
256,Los Llanos De Aridane,ES,2021-03-22 21:41:19,28.6585,-17.9182,62.6,63,90,8.05
257,Kahului,US,2021-03-22 21:37:34,20.8947,-156.47,77.0,78,40,13.8
258,Mackay,AU,2021-03-22 21:42:03,-21.15,149.2,77.0,94,75,1.97
259,Aquin,HT,2021-03-22 21:43:46,18.2833,-73.4,79.2,69,18,3.49
260,Gorele,TR,2021-03-22 21:43:46,41.0308,39.0031,55.4,88,75,9.22
261,Geraldton,AU,2021-03-22 21:39:37,-28.7667,114.6,66.2,77,9,13.8
262,Komsomolskiy,UZ,2021-03-22 21:43:46,40.4272,71.7189,50.0,71,100,4.61
263,Savelugu,GH,2021-03-22 21:43:46,9.6244,-0.8253,87.87,46,97,11.7
264,Boa Vista,BR,2021-03-22 21:43:47,2.8197,-60.6733,91.4,49,40,10.36
265,Talagang,PK,2021-03-22 21:39:29,32.9297,72.4158,55.06,92,100,3.4
266,Reconquista,AR,2021-03-22 21:43:47,-29.15,-59.65,77.43,53,100,6.64
267,Tikapur,NP,2021-03-22 21:43:47,28.5,81.1333,69.01,83,0,10.0
